Name,Edition,Price,Type,Mana Cost
Flexible Waterbender,Cheapest Recent Printing - Avatar: The Last Airbender,0.05,Creature - Human Warrior Ally,sym_3 sym_u
Flick a Coin,Cheapest Recent Printing - Wilds of Eldraine,0.10,Instant,sym_2 sym_r
Flicker,Cheapest Recent Printing - Urza's Destiny,5.17,Sorcery,sym_1 sym_w
Flicker of Fate,Cheapest Recent Printing - Theros Beyond Death,0.26,Instant,sym_1 sym_w
Flickerform,Cheapest Recent Printing - Ravnica: City of Guilds,1.20,Enchantment - Aura,sym_1 sym_w
Flickering Spirit,Cheapest Recent Printing - Time Spiral,0.05,Creature - Spirit,sym_3 sym_w
Flickering Ward,Cheapest Recent Printing - Mystery Booster 2,1.22,Enchantment - Aura,sym_w
Flickerwisp,Cheapest Recent Printing - Eventide,0.56,Creature - Elemental,sym_1 sym_w sym_w
Flight,Cheapest Recent Printing - Magic 2012,0.08,Enchantment - Aura,sym_u
Flight of Equenauts,Cheapest Recent Printing - Guilds of Ravnica,0.03,Creature - Human Knight,sym_7 sym_w
Flight of Fancy,Cheapest Recent Printing - Ravnica: City of Guilds,0.13,Enchantment - Aura,sym_3 sym_u
Flight Spellbomb,Cheapest Recent Printing - Scars of Mirrodin,0.08,Artifact,sym_1
Flight-Deck Coordinator,Cheapest Recent Printing - Edge of Eternities,0.02,Creature - Human Soldier,sym_2 sym_w
Fling,Cheapest Recent Printing - Throne of Eldraine,0.11,Instant,sym_1 sym_r
Flint Golem,Cheapest Recent Printing - Nemesis,0.13,Artifact Creature - Golem,sym_4
Flinthoof Boar,Cheapest Recent Printing - Magic 2013,0.07,Creature - Boar,sym_1 sym_g
Flip the Switch,Cheapest Recent Printing - Innistrad: Midnight Hunt,0.04,Instant,sym_2 sym_u
Flitterstep Eidolon,Cheapest Recent Printing - Born of the Gods,0.15,Enchantment Creature - Spirit,sym_1 sym_u
Flitting Guerrilla,Cheapest Recent Printing - March of the Machine,0.06,Creature - Faerie Rogue,sym_2 sym_b
Floating Shield,Cheapest Recent Printing - Torment,0.14,Enchantment - Aura,sym_2 sym_w
Floating-Dream Zubera,Cheapest Recent Printing - Champions of Kamigawa,0.14,Creature - Zubera Spirit,sym_1 sym_u
Flock of Rabid Sheep,Cheapest Recent Printing - Unglued,0.30,Sorcery,sym_x sym_g sym_g
Flockchaser Phantom,Cheapest Recent Printing - March of the Machine Commander,0.14,Creature - Spirit,sym_4 sym_w sym_u
Flood,Cheapest Recent Printing - Fifth Edition,0.13,Enchantment,sym_u
Flood of Recollection,Cheapest Recent Printing - Rivals of Ixalan,0.14,Sorcery,sym_u sym_u
Flood of Tears,Cheapest Recent Printing - Core Set 2020,0.80,Sorcery,sym_4 sym_u sym_u
Flood Plain,Cheapest Recent Printing - Commander Masters,0.58,Land,
Flood the Engine,Cheapest Recent Printing - Aetherdrift,0.05,Enchantment - Aura,sym_2 sym_u
Floodbringer,Cheapest Recent Printing - Betrayers of Kamigawa,0.15,Creature - Moonfolk Wizard,sym_1 sym_u
Floodchaser,Cheapest Recent Printing - Morningtide,0.08,Creature - Elemental,sym_5 sym_u
Flooded Grove,Cheapest Recent Printing - Final Fantasy Commander,0.33,Land,
Flooded Shoreline,Cheapest Recent Printing - Visions,0.47,Enchantment,sym_u sym_u
Flooded Strand,Cheapest Recent Printing - Khans of Tarkir,14.17,Land,
Flooded Woodlands,Cheapest Recent Printing - Ice Age,0.59,Enchantment,sym_2 sym_u sym_b
Floodfarm Verge,Cheapest Recent Printing - Duskmourn: House of Horror,7.04,Land,
Floodgate,Cheapest Recent Printing - Mirage,0.26,Creature - Wall,sym_3 sym_u
Floodhound,Cheapest Recent Printing - The List,0.11,Creature - Elemental Dog,sym_u
Floodpits Drowner,Cheapest Recent Printing - Duskmourn: House of Horror,0.40,Creature - Merfolk,sym_1 sym_u
Floodtide Serpent,Cheapest Recent Printing - Born of the Gods,0.05,Creature - Serpent,sym_4 sym_u
Floodwater Dam,Cheapest Recent Printing - Alliances,0.60,Artifact,sym_3
Floodwaters,Cheapest Recent Printing - Amonkhet,0.07,Sorcery,sym_4 sym_u sym_u
"Flopsie, Bumi's Buddy",Cheapest Recent Printing - Avatar: The Last Airbender,0.10,Legendary Creature - Ape Goat,sym_4 sym_g sym_g
Floral Evoker,Cheapest Recent Printing - Tarkir: Dragonstorm Commander,0.17,Creature - Snake Druid,sym_2 sym_g
Floral Spuzzem,Cheapest Recent Printing - Legends,3.67,Creature - Elemental,sym_3 sym_g
"Florian, Voldaren Scion",Cheapest Recent Printing - Innistrad: Midnight Hunt,0.24,Legendary Creature - Vampire Noble,sym_1 sym_b sym_r
Floriferous Vinewall,Cheapest Recent Printing - Dominaria United,0.04,Creature - Plant Wall,sym_1 sym_g
Flotsam // Jetsam,Cheapest Recent Printing - Murders at Karlov Manor,0.15,Instant // Sorcery,sym_1 sym_gu sym_4 sym_ub sym_ub
Flourishing Bloom-Kin,Cheapest Recent Printing - Murders at Karlov Manor,0.08,Creature - Plant Elemental,sym_1 sym_g
Flourishing Defenses,Cheapest Recent Printing - Shadowmoor,0.39,Enchantment,sym_4 sym_g
Flourishing Fox,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.11,Creature - Fox,sym_w
Flourishing Hunter,Cheapest Recent Printing - Innistrad: Crimson Vow,0.04,Creature - Wolf Spirit,sym_4 sym_g sym_g
Flourishing Strike,Cheapest Recent Printing - Modern Horizons 2,0.06,Instant,sym_1 sym_g
Flow of Ideas,Cheapest Recent Printing - Shadowmoor,0.33,Sorcery,sym_5 sym_u
Flow of Knowledge,Cheapest Recent Printing - The Brothers' War,0.22,Instant,sym_4 sym_u
Flow of Maggots,Cheapest Recent Printing - Ice Age,0.75,Creature - Insect,sym_2 sym_b
Flower // Flourish,Cheapest Recent Printing - Guilds of Ravnica,0.08,Sorcery // Sorcery,sym_gw sym_4 sym_g sym_w
Flowerfoot Swordmaster,Cheapest Recent Printing - Bloomburrow,0.12,Creature - Mouse Soldier,sym_w
Flowering Field,Cheapest Recent Printing - Prophecy,0.22,Enchantment - Aura,sym_1 sym_w
Flowering Lumberknot,Cheapest Recent Printing - Avacyn Restored,0.05,Creature - Treefolk,sym_3 sym_g
Flowering of the White Tree,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,6.07,Legendary Enchantment,sym_w sym_w
Flowstone Armor,Cheapest Recent Printing - Nemesis,0.16,Artifact,sym_3
Flowstone Blade,Cheapest Recent Printing - Stronghold,0.16,Enchantment - Aura,sym_r
Flowstone Channeler,Cheapest Recent Printing - Time Spiral,0.06,Creature - Human Spellshaper,sym_2 sym_r
Flowstone Charger,Cheapest Recent Printing - Apocalypse,0.11,Creature - Beast,sym_2 sym_r sym_w
Flowstone Crusher,Cheapest Recent Printing - Ninth Edition,0.10,Creature - Beast,sym_3 sym_r sym_r
Flowstone Embrace,Cheapest Recent Printing - Future Sight,0.11,Enchantment - Aura,sym_1 sym_r
Flowstone Flood,Cheapest Recent Printing - Exodus,0.20,Sorcery,sym_3 sym_r
Flowstone Giant,Cheapest Recent Printing - Tempest,0.16,Creature - Giant,sym_2 sym_r sym_r
Flowstone Hellion,Cheapest Recent Printing - Stronghold,0.16,Creature - Hellion Beast,sym_4 sym_r
Flowstone Infusion,Cheapest Recent Printing - Dominaria United,0.06,Instant,sym_r
Flowstone Kavu,Cheapest Recent Printing - Dominaria United,0.03,Creature - Kavu,sym_2 sym_r
Flowstone Mauler,Cheapest Recent Printing - Stronghold,0.32,Creature - Beast,sym_4 sym_r sym_r
Flowstone Overseer,Cheapest Recent Printing - Nemesis,0.32,Creature - Beast,sym_2 sym_r sym_r sym_r
Flowstone Salamander,Cheapest Recent Printing - Tempest,0.15,Creature - Salamander,sym_3 sym_r sym_r
Flowstone Sculpture,Cheapest Recent Printing - Tempest,0.40,Artifact Creature - Shapeshifter,sym_6
Flowstone Shambler,Cheapest Recent Printing - Ninth Edition,0.04,Creature - Beast,sym_2 sym_r
Flowstone Slide,Cheapest Recent Printing - Tenth Edition,0.34,Sorcery,sym_x sym_2 sym_r sym_r
Flowstone Strike,Cheapest Recent Printing - Nemesis,0.06,Instant,sym_1 sym_r
Flowstone Surge,Cheapest Recent Printing - Nemesis,0.19,Enchantment,sym_1 sym_r
Flowstone Thopter,Cheapest Recent Printing - Nemesis,0.18,Artifact Creature - Thopter,sym_7
Flowstone Wall,Cheapest Recent Printing - Nemesis,0.09,Creature - Wall,sym_2 sym_r
Flowstone Wyvern,Cheapest Recent Printing - Tempest,0.30,Creature - Drake,sym_3 sym_r sym_r
"Flubs, the Fool",Cheapest Recent Printing - Bloomburrow Commander,2.68,Legendary Creature - Frog Scout,sym_g sym_u sym_r
Fluctuator,Cheapest Recent Printing - Commander 2020,0.57,Artifact,sym_2
"Fludge, Gunk Guardian",Cheapest Recent Printing - Mystery Booster 2 Playtest Cards,0.28,Legendary Creature - Slug Ooze,sym_3 sym_b sym_g
Flummoxed Cyclops,Cheapest Recent Printing - Theros Beyond Death,0.02,Creature - Cyclops,sym_3 sym_r
Flumph,Cheapest Recent Printing - Adventures in the Forgotten Realms,1.12,Creature - Jellyfish,sym_1 sym_w
Flunk,Cheapest Recent Printing - Strixhaven: School of Mages,0.07,Instant,sym_1 sym_b
Fluros of Myra's Marvels,Cheapest Recent Printing - Unfinity,0.14,Legendary Creature - Merfolk Performer,sym_2 sym_u sym_u
Flurry of Horns,Cheapest Recent Printing - Journey into Nyx,0.03,Sorcery,sym_4 sym_r
Flurry of Wings,Cheapest Recent Printing - Alara Reborn,5.67,Instant,sym_g sym_w sym_u
Flusterstorm,Cheapest Recent Printing - Mystery Booster 2,6.72,Instant,sym_u
Flutterfox,Cheapest Recent Printing - Throne of Eldraine,0.04,Creature - Fox,sym_1 sym_w
Fluttershy,Cheapest Recent Printing - Secret Lair Drop Series,24.13,Legendary Creature - Pegasus,sym_1 sym_g sym_w
Flux,Cheapest Recent Printing - Weatherlight,0.31,Sorcery,sym_2 sym_u
Flux Channeler,Cheapest Recent Printing - War of the Spark,2.85,Creature - Human Wizard,sym_2 sym_u
Fluxcharger,Cheapest Recent Printing - Dragon's Maze,0.05,Creature - Weird,sym_2 sym_u sym_r
Fly,Cheapest Recent Printing - Adventures in the Forgotten Realms,0.11,Enchantment - Aura,sym_u
Flycatcher Giraffid,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.03,Creature - Antelope Lizard,sym_4 sym_g
Flying Carpet,Cheapest Recent Printing - Eighth Edition,0.41,Artifact,sym_4
Flying Crane Technique,Cheapest Recent Printing - Khans of Tarkir,0.21,Instant,sym_3 sym_u sym_r sym_w
Flying Dolphin-Fish,Cheapest Recent Printing - Avatar: The Last Airbender Eternal,0.08,Creature - Whale Fish,sym_1 sym_u
Flying Men,Cheapest Recent Printing - Time Spiral 'Timeshifted',1.44,Creature - Human,sym_u
Flying Octobot,Cheapest Recent Printing - Marvel's Spider-Man,0.03,Artifact Creature - Robot Villain,sym_1 sym_u
Flywheel Racer,Cheapest Recent Printing - March of the Machine,0.10,Artifact - Vehicle,sym_2
Foam Weapons Kiosk,Cheapest Recent Printing - Unfinity,0.10,Artifact - Attraction,
Focus Fire,Cheapest Recent Printing - Edge of Eternities,0.02,Instant,sym_w
Focus the Mind,Cheapest Recent Printing - Tarkir: Dragonstorm,0.07,Instant,sym_4 sym_u
Focused Funambulist,Cheapest Recent Printing - Unfinity,0.02,Creature - Human Performer,sym_1 sym_u
Fodder Cannon,Cheapest Recent Printing - Eighth Edition,0.10,Artifact,sym_4
Fodder Launch,Cheapest Recent Printing - Lorwyn,0.23,Tribal Sorcery - Goblin,sym_3 sym_b
Fodder Tosser,Cheapest Recent Printing - Modern Horizons 2,0.05,Artifact,sym_3
Foe-Razer Regent,Cheapest Recent Printing - Dragons of Tarkir,0.35,Creature - Dragon,sym_5 sym_g sym_g
Fog,Cheapest Recent Printing - Magic 2014 Core Set,0.34,Instant,sym_g
Fog Bank,Cheapest Recent Printing - Foundations,0.17,Creature - Wall,sym_1 sym_u
Fog Elemental,Cheapest Recent Printing - Tenth Edition,0.06,Creature - Elemental,sym_2 sym_u
Fog of Gnats,Cheapest Recent Printing - Urza's Legacy,0.15,Creature - Insect,sym_b sym_b
Fog of War,Cheapest Recent Printing - The Brothers' War,0.05,Instant,sym_2 sym_g
Fog on the Barrow-Downs,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.07,Enchantment - Aura,sym_2 sym_w
Fog Patch,Cheapest Recent Printing - Nemesis,0.16,Instant,sym_1 sym_g
Foggy Bottom Swamp,Cheapest Recent Printing - Avatar: The Last Airbender,0.07,Land,
Foggy Swamp Hunters,Cheapest Recent Printing - Avatar: The Last Airbender,0.01,Creature - Human Ranger Ally,sym_3 sym_b
Foggy Swamp Spirit Keeper,Cheapest Recent Printing - Avatar: The Last Airbender,0.05,Creature - Human Druid Ally,sym_1 sym_u sym_b
Foggy Swamp Vinebender,Cheapest Recent Printing - Avatar: The Last Airbender,0.03,Creature - Human Plant Ally,sym_3 sym_g
Foggy Swamp Visions,Cheapest Recent Printing - Avatar: The Last Airbender,0.34,Sorcery,sym_1 sym_b sym_b
Fogwalker,Cheapest Recent Printing - Eldritch Moon,0.04,Creature - Spirit,sym_1 sym_u
Foil,Cheapest Recent Printing - The List,1.07,Instant,sym_2 sym_u sym_u
Fold into Aether,Cheapest Recent Printing - Fifth Dawn,0.14,Instant,sym_2 sym_u sym_u
Folio of Fancies,Cheapest Recent Printing - Throne of Eldraine,0.96,Artifact,sym_1 sym_u
Folk Hero,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,5.12,Legendary Enchantment - Background,sym_1 sym_w
Folk Medicine,Cheapest Recent Printing - Judgment,0.10,Instant,sym_2 sym_g
Folk of An-Havva,Cheapest Recent Printing - Homelands,0.11,Creature - Human,sym_g
Folk of the Pines,Cheapest Recent Printing - Ice Age,0.11,Creature - Dryad,sym_4 sym_g
Follow the Bodies,Cheapest Recent Printing - Murders at Karlov Manor Commander,0.11,Sorcery,sym_2 sym_u
Follow the Tracks,Cheapest Recent Printing - Alchemy Horizons: Baldur's Gate,N/A,Sorcery,sym_2 sym_g
Followed Footsteps,Cheapest Recent Printing - Ravnica: City of Guilds,2.57,Enchantment - Aura,sym_3 sym_u sym_u
Fomori Nomad,Cheapest Recent Printing - Future Sight,0.10,Creature - Nomad Giant,sym_4 sym_r
Fomori Vault,Cheapest Recent Printing - The Big Score,6.32,Land,
Font of Agonies,Cheapest Recent Printing - Ravnica Allegiance,0.63,Enchantment,sym_b
Font of Fertility,Cheapest Recent Printing - Journey into Nyx,0.16,Enchantment,sym_g
Font of Fortunes,Cheapest Recent Printing - Journey into Nyx,0.03,Enchantment,sym_1 sym_u
Font of Ire,Cheapest Recent Printing - Journey into Nyx,0.06,Enchantment,sym_1 sym_r
Font of Magic,Cheapest Recent Printing - Commander Legends: Battle for Baldur's Gate,0.29,Enchantment,sym_3 sym_u
Font of Mythos,Cheapest Recent Printing - Conflux,13.03,Artifact,sym_4
Font of Progress,Cheapest Recent Printing - Phyrexia: All Will Be One,0.05,Artifact,sym_u
Font of Return,Cheapest Recent Printing - Journey into Nyx,0.07,Enchantment,sym_1 sym_b
Font of Vigor,Cheapest Recent Printing - Journey into Nyx,0.05,Enchantment,sym_1 sym_w
Food,Cheapest Recent Printing - The List,N/A,Token Artifact - Food,
Food  // Wraith,Cheapest Recent Printing - Extras: The Lord of the Rings: Tales of Middle-earth Commander,N/A,Token,
Food // Ballistic Boulder,Cheapest Recent Printing - Extras: The Lord of the Rings: Tales of Middle-earth,N/A,Token,
Food // Energy Reserve,Cheapest Recent Printing - Extras: Modern Horizons 3,N/A,Token,
Food // Human Soldier,Cheapest Recent Printing - Extras: Fallout,N/A,Token,
Food // Nightmare,Cheapest Recent Printing - Extras: Wilds of Eldraine,N/A,Token,
Food // Orc Army,Cheapest Recent Printing - Extras: The Lord of the Rings: Tales of Middle-earth,N/A,Token,
Food // Plot,Cheapest Recent Printing - Extras: Outlaws of Thunder Junction,N/A,Token,
Food // Replicated Ring,Cheapest Recent Printing - Extras: March of the Machine Commander,N/A,Token,
Food // Robot,Cheapest Recent Printing - Extras: Marvel's Spider-Man,N/A,Token,
Food // Servo,Cheapest Recent Printing - Extras: Modern Horizons 3,N/A,Token,
Food // Treasure,Cheapest Recent Printing - Extras: Foundations,N/A,Token,
Food // Wasteland Survival Guide,Cheapest Recent Printing - Extras: Fallout,N/A,Token,
Food // Zombie Mutant,Cheapest Recent Printing - Extras: Fallout,N/A,Token,
Food Chain,Cheapest Recent Printing - Mercadian Masques,33.06,Enchantment,sym_2 sym_g
Food Coma,Cheapest Recent Printing - Wilds of Eldraine,0.17,Enchantment,sym_3 sym_w
Food Fight,Cheapest Recent Printing - Wilds of Eldraine,0.12,Enchantment,sym_1 sym_r
Fool's Demise,Cheapest Recent Printing - Time Spiral,0.30,Enchantment - Aura,sym_4 sym_u
Fool's Tome,Cheapest Recent Printing - Tempest,0.33,Artifact,sym_4
Foot Soldiers,Cheapest Recent Printing - Ninth Edition,0.12,Creature - Human Soldier,sym_3 sym_w
Footbottom Feast,Cheapest Recent Printing - Lorwyn,0.20,Instant,sym_2 sym_b
Footfall Crater,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.18,Enchantment - Aura,sym_r
Foothill Guide,Cheapest Recent Printing - Onslaught,0.10,Creature - Human Cleric,sym_w
Footlight Fiend,Cheapest Recent Printing - Ravnica Allegiance,0.04,Creature - Devil,sym_br
Footsteps of the Goryo,Cheapest Recent Printing - The List,0.30,Sorcery - Arcane,sym_2 sym_b
"For Each of You, a Gift",Cheapest Recent Printing - Archenemy: Nicol Bolas,1.43,Scheme,
For the Ancestors,Cheapest Recent Printing - Commander Masters,2.49,Instant,sym_2 sym_g
For the Common Good,Cheapest Recent Printing - Bloomburrow,0.65,Sorcery,sym_x sym_x sym_g
For the Emperor!,"Cheapest Recent Printing - Warhammer 40,000 Surge Foils",0.65,Sorcery,sym_3 sym_w
For the Family,Cheapest Recent Printing - Streets of New Capenna,0.04,Instant,sym_g
Foratog,Cheapest Recent Printing - Eighth Edition,0.19,Creature - Atog,sym_2 sym_g
Foray of Orcs,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,0.06,Sorcery,sym_3 sym_r
Forbid,Cheapest Recent Printing - Exodus,1.18,Instant,sym_1 sym_u sym_u
Forbidden Alchemy,Cheapest Recent Printing - Innistrad,0.05,Instant,sym_2 sym_u
Forbidden Crypt,Cheapest Recent Printing - Classic Sixth Edition,0.85,Enchantment,sym_3 sym_b sym_b
Forbidden Friendship,Cheapest Recent Printing - Ikoria: Lair of Behemoths,0.06,Sorcery,sym_1 sym_r
Forbidden Lore,Cheapest Recent Printing - Ice Age,0.35,Enchantment - Aura,sym_2 sym_g
Forbidden Orchard,Cheapest Recent Printing - Champions of Kamigawa,8.72,Land,
Forbidden Ritual,Cheapest Recent Printing - Visions,1.32,Sorcery,sym_2 sym_b sym_b
Forbidding Spirit,Cheapest Recent Printing - Ravnica Allegiance,0.05,Creature - Spirit Cleric,sym_1 sym_w sym_w
Forbidding Watchtower,Cheapest Recent Printing - Tenth Edition,0.32,Land,
Force Away,Cheapest Recent Printing - Khans of Tarkir,0.04,Instant,sym_1 sym_u
Force Bubble,Cheapest Recent Printing - Scourge,0.30,Enchantment,sym_2 sym_w sym_w
Force of Despair,Cheapest Recent Printing - Secret Lair Showdown,3.34,Instant,sym_1 sym_b sym_b
Force of Nature,Cheapest Recent Printing - Ninth Edition,0.24,Creature - Elemental,sym_2 sym_g sym_g sym_g sym_g
Force of Negation,Cheapest Recent Printing - Double Masters 2022,48.38,Instant,sym_1 sym_u sym_u
Force of Rage,Cheapest Recent Printing - Modern Horizons,0.17,Instant,sym_1 sym_r sym_r
Force of Savagery,Cheapest Recent Printing - Future Sight,0.52,Creature - Elemental,sym_2 sym_g
Force of Vigor,Cheapest Recent Printing - Breaking News,5.47,Instant,sym_2 sym_g sym_g
Force of Virtue,Cheapest Recent Printing - Modern Horizons,0.42,Enchantment,sym_2 sym_w sym_w
Force of Will,Cheapest Recent Printing - Alliances,61.48,Instant,sym_3 sym_u sym_u
Force Spike,Cheapest Recent Printing - Seventh Edition,0.54,Instant,sym_u
Force Void,Cheapest Recent Printing - Ice Age,0.24,Instant,sym_2 sym_u
Forced Adaptation,Cheapest Recent Printing - Gatecrash,0.12,Enchantment - Aura,sym_g
Forced Fruition,Cheapest Recent Printing - Wilds of Eldraine: Enchanting Tales,1.80,Enchantment,sym_4 sym_u sym_u
Forced Landing,Cheapest Recent Printing - War of the Spark,0.04,Instant,sym_1 sym_g
Forced March,Cheapest Recent Printing - Mercadian Masques,1.05,Sorcery,sym_x sym_b sym_b sym_b
Forced Retreat,Cheapest Recent Printing - Portal Three Kingdoms,1.91,Sorcery,sym_2 sym_u
Forced Worship,Cheapest Recent Printing - New Phyrexia,0.07,Enchantment - Aura,sym_1 sym_w
Forcefield,Cheapest Recent Printing - Collector's Edition,84.00,Artifact,sym_3
Forceful Cultivator,Cheapest Recent Printing - Alchemy: Kamigawa,N/A,Creature - Snake Shaman,sym_2 sym_g sym_g
Forceful Denial,Cheapest Recent Printing - Commander Legends,0.07,Instant,sym_3 sym_u sym_u
Forcemage Advocate,Cheapest Recent Printing - Judgment,0.17,Creature - Centaur Shaman,sym_1 sym_g
Forebear's Blade,Cheapest Recent Printing - Dominaria,0.24,Artifact - Equipment,sym_3
Foreboding Fruit,Cheapest Recent Printing - Throne of Eldraine,0.07,Sorcery,sym_2 sym_b
Foreboding Landscape,Cheapest Recent Printing - Tarkir: Dragonstorm Commander,0.11,Land,
Foreboding Ruins,Cheapest Recent Printing - Shadows over Innistrad,0.32,Land,
Foreboding Statue // Forsaken Thresher,Cheapest Recent Printing - Innistrad: Crimson Vow,0.10,Artifact Creature - Construct // Artifact Creature - Construct,sym_3
Foreboding Steamboat,Cheapest Recent Printing - Murders at Karlov Manor Commander,0.10,Artifact - Vehicle,sym_3 sym_b sym_b
Forecasting Fortune Teller,Cheapest Recent Printing - Avatar: The Last Airbender,0.07,Creature - Human Advisor Ally,sym_1 sym_u
Forensic Gadgeteer,Cheapest Recent Printing - Murders at Karlov Manor,1.22,Creature - Vedalken Artificer Detective,sym_2 sym_u
Forensic Researcher,Cheapest Recent Printing - Murders at Karlov Manor,0.09,Creature - Merfolk Detective,sym_2 sym_u
Forerunner of Slaughter,Cheapest Recent Printing - Battle for Zendikar,0.14,Creature - Eldrazi Drone,sym_b sym_r
Forerunner of the Coalition,Cheapest Recent Printing - Rivals of Ixalan,0.54,Creature - Human Pirate,sym_2 sym_b
Forerunner of the Empire,Cheapest Recent Printing - Rivals of Ixalan,0.83,Creature - Human Soldier,sym_3 sym_r
Forerunner of the Heralds,Cheapest Recent Printing - Rivals of Ixalan,0.35,Creature - Merfolk Scout,sym_3 sym_g
Forerunner of the Legion,Cheapest Recent Printing - Rivals of Ixalan,1.47,Creature - Vampire Knight,sym_2 sym_w
Foresee,Cheapest Recent Printing - Magic 2011,0.10,Sorcery,sym_3 sym_u
Foreshadow,Cheapest Recent Printing - Visions,0.23,Instant,sym_1 sym_u
Foresight,Cheapest Recent Printing - Alliances,0.20,Sorcery,sym_1 sym_u
Forest,Cheapest Recent Printing - Marvel's Spider-Man,0.08,Basic Land - Forest,
Forest Bear,Cheapest Recent Printing - Mystery Booster 2,0.61,Creature - Bear,sym_1 sym_g
Forest Dryad,Cheapest Recent Printing - Extras: The Brothers' War,N/A,Token Land Creature - Forest Dryad,
Forest Dryad // Emblem: Vivien Reid,Cheapest Recent Printing - Extras: Modern Horizons 3 Commander,N/A,Token,
Forest Dryad // Powerstone,Cheapest Recent Printing - Extras: The Brothers' War,N/A,Token,
Foretell,Cheapest Recent Printing - Extras: Kaldheim,N/A,Token,
Foretell // Treasure,Cheapest Recent Printing - Extras: Final Fantasy Commander,N/A,Token,
Forethought Amulet,Cheapest Recent Printing - Legends,20.20,Artifact,sym_5
Forever Young,Cheapest Recent Printing - Throne of Eldraine,0.10,Sorcery,sym_1 sym_b
Forfend,Cheapest Recent Printing - Morningtide,0.07,Instant,sym_1 sym_w
Forge Anew,Cheapest Recent Printing - The Lord of the Rings: Tales of Middle-earth,3.95,Enchantment,sym_2 sym_w
Forge Armor,Cheapest Recent Printing - Mirrodin,0.23,Instant,sym_4 sym_r
Forge Boss,Cheapest Recent Printing - Streets of New Capenna,0.09,Creature - Human Warrior,sym_2 sym_b sym_r
Forge Devil,Cheapest Recent Printing - Magic 2015 Core Set,0.08,Creature - Devil,sym_r
Forge of Heroes,Cheapest Recent Printing - Final Fantasy Commander,0.10,Land,
"Forge, Neverwinter Charlatan",Cheapest Recent Printing - Secret Lair Drop Series,11.09,Legendary Creature - Human Rogue,sym_3 sym_b
Forgeborn Oreads,Cheapest Recent Printing - Journey into Nyx,0.16,Enchantment Creature - Nymph,sym_2 sym_r sym_r
Forgeborn Phoenix,Cheapest Recent Printing - Alchemy: Kamigawa,N/A,Artifact Creature - Equipment Phoenix,sym_1 sym_r sym_r
Forgefire Automaton,Cheapest Recent Printing - Alchemy: The Brothers' War,N/A,Artifact Creature - Construct,sym_7
Forgehammer Centurion,Cheapest Recent Printing - Phyrexia: All Will Be One,0.03,Creature - Phyrexian Warrior,sym_2 sym_r
Forger's Foundry,Cheapest Recent Printing - Outlaws of Thunder Junction Commander,0.23,Artifact,sym_2 sym_u
Forgestoker Dragon,Cheapest Recent Printing - Born of the Gods,0.16,Creature - Dragon,sym_4 sym_r sym_r
Forget,Cheapest Recent Printing - Classic Sixth Edition,0.33,Sorcery,sym_u sym_u
Forging the Anchor,Cheapest Recent Printing - The Brothers' War,0.06,Sorcery,sym_2 sym_u
Forging the Tyrite Sword,Cheapest Recent Printing - Kaldheim,0.26,Enchantment - Saga,sym_1 sym_r sym_w
Forgotten Ancient,Cheapest Recent Printing - Final Fantasy Commander,0.27,Creature - Elemental,sym_3 sym_g
Forgotten Cave,Cheapest Recent Printing - Onslaught,0.15,Land,
Forgotten Creation,Cheapest Recent Printing - Shadows over Innistrad,0.28,Creature - Zombie Horror,sym_3 sym_u
Forgotten Harvest,Cheapest Recent Printing - Prophecy,0.31,Enchantment,sym_1 sym_g
Forgotten Lore,Cheapest Recent Printing - Ice Age,0.22,Sorcery,sym_g
Forgotten Monument,Cheapest Recent Printing - The Lost Caverns of Ixalan,0.07,Land - Cave,
Forgotten Sentinel,Cheapest Recent Printing - Core Set 2021,0.02,Artifact Creature - Golem,sym_4
Foriysian Brigade,Cheapest Recent Printing - Weatherlight,0.13,Creature - Human Soldier,sym_3 sym_w
Foriysian Interceptor,Cheapest Recent Printing - Time Spiral,0.10,Creature - Human Soldier,sym_3 sym_w
Foriysian Totem,Cheapest Recent Printing - Time Spiral,0.16,Artifact,sym_3
Fork,Cheapest Recent Printing - Revised Edition,34.10,Instant,sym_r sym_r
Fork in the Road,Cheapest Recent Printing - Shadows over Innistrad,0.04,Sorcery,sym_1 sym_g
Forked Bolt,Cheapest Recent Printing - Rise of the Eldrazi,0.32,Sorcery,sym_r
Forked Lightning,Cheapest Recent Printing - The List,0.22,Sorcery,sym_3 sym_r
Forked-Branch Garami,Cheapest Recent Printing - Betrayers of Kamigawa,0.15,Creature - Spirit,sym_3 sym_g sym_g
Forlorn Flats,Cheapest Recent Printing - Outlaws of Thunder Junction,0.15,Land - Desert,
Forlorn Pseudamma,Cheapest Recent Printing - Born of the Gods,0.09,Creature - Zombie,sym_3 sym_b
Form a Posse,Cheapest Recent Printing - Outlaws of Thunder Junction,0.06,Sorcery,sym_x sym_r sym_w
Form of the Approach of the Second Sun,Cheapest Recent Printing - Unfinity,0.15,Enchantment,sym_4 sym_w
